chamber,coreno,upper,lower,veryfine,wrlt2,wr25,wr510,wrgt10
ch01,1,0,15,2.052,1.529,0.848,0,0
ch01,1,15,30,0.186,0.314,0.051,0,0
ch01,1,30,70,0.141,0,0,0,0
ch01,2,0,15,3.027,1.651,0.135,0,0
ch01,2,15,30,0.515,0.93,1.942,0,0
ch01,2,30,70,0.325,0.551,0,0,0
ch01,3,0,15,6.488,0,0.841,10.616,0
ch01,3,15,30,0.563,0.501,0.063,0,0
ch01,3,30,70,0.239,0.092,0.142,0,0
ch01,4,0,15,2.062,1.542,1.008,0,0
ch01,4,15,30,0.347,0.201,0.161,0,0
ch01,4,30,70,0.254,0.24,0,0,0
ch01,5,0,15,4.815,0.394,0,0,0
ch01,5,15,30,0.277,0.257,0,0,0
ch01,5,30,70,0.316,0.273,0,0,0
ch02,1,0,15,1.653,1.576,0,0,0
ch02,1,15,30,0.303,0.578,0.094,0,0
ch02,1,30,70,0.383,0.5,0.299,0,0
ch02,2,0,15,1.428,1.015,0.769,0,0
ch02,2,15,30,0.288,0.366,0.352,0,0
ch02,2,30,70,0.01,0,0,0,0
ch02,3,0,15,12.274,1.521,0.573,0,0
ch02,3,15,30,1.757,1.864,0.919,0,31.57
ch02,3,30,70,0.207,0.131,0,0,0
ch02,4,0,15,1.355,1.53,0.131,1.895,0
ch02,4,15,30,0.551,0.263,0.227,0,0
ch02,4,30,70,0.078,0.012,0,0,0
ch02,5,0,15,1.494,0.96,0,0,0
ch02,5,15,30,0.36,0.051,0,0,0
ch02,5,30,70,0.065,0,0,0,0
ch03,1,0,15,14.551,0.872,0,0,0
ch03,1,15,30,0.568,0.38,0,0,0
ch03,1,30,70,0.449,0.138,0,0,0
ch03,1,70,107,0.226,0.103,0,0,0
ch03,2,0,15,5.134,4.453,1.264,0,0
ch03,2,15,30,0.604,0.443,0.261,0,0
ch03,2,30,70,0.448,0.419,0,0,0
ch03,2,70,107,0.212,0.089,0,0,0
ch03,3,0,15,1.984,1.642,0.412,0,0
ch03,3,15,30,0.753,0.527,0.302,0,0
ch03,3,30,70,0.623,0.899,0.09,0,0
ch03,3,70,111,0.402,0.244,0,0,0
ch03,4,0,15,4.618,0.982,0.33,0.506,0
ch03,4,15,30,0.515,0.314,0,1.145,0
ch03,4,30,70,0.279,0.106,0,0,0
ch03,4,70,105,0.186,0,0,0,0
ch03,5,0,15,3.04,1.029,0,0,0
ch03,5,15,30,0.456,0.228,0,0,0
ch03,5,30,70,0.706,0.754,0,0,0
ch03,5,70,92,0.197,0.194,0,0,0
ch04,1,0,15,3.555,3.067,0.252,2.836,0
ch04,1,15,30,0.934,0.504,0,0,0
ch04,1,30,70,0.195,0.113,0,0,0
ch04,2,0,15,1.701,0.872,0,0,0
ch04,2,15,30,0.673,0.315,0.443,0,0
ch04,2,30,70,0.301,0.303,0,0,0
ch04,3,0,15,6.831,3.875,0.715,0,0
ch04,3,15,30,2.013,0.766,0.242,0,0
ch04,3,30,70,0.767,1.438,1.27,0,0
ch04,4,0,15,5.98,0.6683,0,0,0
ch04,4,15,30,0.4479,0.4668,0.0973,0,0
ch04,4,30,70,0.2045,0.2699,0,0,0
ch04,5,0,15,1.4122,3.0464,0.414,0,0
ch04,5,15,30,0.6197,0.9396,0,0,0
ch04,5,30,70,0.0687,0.3688,0,0,0
ch05,1,0,15,1.0039,1.8958,1.7496,0,0
ch05,1,15,30,0.2425,0.4392,0.6867,0,0
ch05,1,30,70,0.071,0,0,0,0
ch05,2,0,15,2.601,2.214,0,0,26.358
ch05,2,15,30,0.46,1.121,1.338,0,0
ch05,2,30,70,0.562,0.832,0.435,0,0
ch05,3,0,15,2.1879,1.6922,0.131,3.4281,0
ch05,3,15,30,0.9573,1.0654,1.5992,8.0056,0
ch05,3,30,70,0.4409,0.6335,0.3738,0,0
ch05,4,0,15,4.5803,2.0062,0.9304,0,0
ch05,4,15,30,0.4653,0.5355,0,0,0
ch05,4,30,70,0.4234,0.3399,2.7989,0,0
ch05,5,0,15,0.7765,1.7365,0.6945,0,0
ch05,5,15,30,0.1707,0.5876,0.5642,0,0
ch05,5,30,70,0.1352,0.3369,0,0,0
ch06,1,0,15,6.8615,1.4698,0.7718,3.363,0
ch06,1,15,30,0.7975,0.2415,0.313,0,0
ch06,1,30,70,0.2777,0.2267,0,0,0
ch06,1,70,,0.0388,0.0817,0,0,0
ch06,2,0,15,1.7034,2.3034,0,0,0
ch06,2,15,30,0.3385,0.4269,0,0,0
ch06,2,30,70,0.2602,0.3585,0,0,0
ch06,2,70,105,0.142,0.0413,0,0,0
ch06,3,0,15,2.9042,0.7354,0.7063,1.2244,0
ch06,3,15,30,0.7565,0.4767,0.3637,0,0
ch06,3,30,70,1.357,0.7177,0.6142,0,0
ch06,3,70,102,0.9665,0.2379,0,0,0
ch06,4,0,15,6.891,1.9559,0,0,0
ch06,4,15,30,0.7942,0.7446,0,0,0
ch06,4,30,70,0.6063,1.259,1.0681,0,0
ch06,4,70,109,0.531,0.9586,2.0295,0,0
ch06,5,0,15,2.7892,2.2215,0,0,0
ch06,5,15,30,0.5555,0.3738,0,0,0
ch06,5,30,70,0.2272,0.4464,0,0,0
ch06,5,70,110,0.1205,0.006,0,0,0
ch07,1,0,15,1.797,2.9112,0.4584,0,0
ch07,1,15,30,0.3715,0.3753,0,0,0
ch07,1,30,70,0.1039,0.0772,0,0,0
ch07,2,0,15,4.896,2.0295,0.3473,0,3.1172
ch07,2,15,30,0.9399,0.6903,0,0,0
ch07,2,30,70,0.7109,0.4823,0,0,0
ch07,3,0,15,2.343,2.376,0,1.634,0
ch07,3,15,30,0.849,1.14,0.556,0,0
ch07,3,30,70,0.222,0.139,0,0,0
ch07,4,0,15,5.7885,2.137,0.1984,1.4137,0
ch07,4,15,30,1.3185,0.5624,0,0,0
ch07,4,30,70,0.3561,0.2767,0,0,0
ch07,5,0,15,2.66,2.635,0.8956,0,0
ch07,5,15,30,0.469,0.3032,0,0,0
ch07,5,30,70,0.1257,0.0983,0,0,0
ch08,1,0,15,3.9527,1.8261,1.4876,0,0
ch08,1,15,30,0.4917,0.3246,0.3053,1.3675,0
ch08,1,30,70,0.1206,0.1981,0.1209,0,0
ch08,2,0,15,3.5089,2.9232,1.2209,0,0
ch08,2,15,30,0.4642,0.2153,1.2602,0,0
ch08,2,30,70,0.2682,1.0908,0,0,0
ch08,3,0,15,5.8666,5.5476,0.7892,0,0
ch08,3,15,30,0.7781,1.3809,0.4936,0,0
ch08,3,30,70,0.4847,0.6249,0,0,0
ch08,4,0,15,2.9531,1.4319,0.7003,0,0
ch08,4,15,30,0.4932,0.6042,0,0,0
ch08,4,30,70,0.2074,0.2022,0,0,0
ch08,5,0,15,0.9324,1.499,0.9831,0,0
ch08,5,15,30,0.5021,1.2404,1.1347,0,0
ch08,5,30,70,0.1791,0.5694,0,0,0
ch09,1,0,15,3.3117,0.8712,0.666,2.9643,0
ch09,1,15,30,0.7961,0.7237,0.2679,0,0
ch09,1,30,70,0.4909,0.4158,0,0,0
ch09,1,70,85,0.2018,0,0,0,0
ch09,2,0,15,3.456,1.375,0.153,1.0638,0
ch09,2,15,30,0.7797,0.7199,0,0,0
ch09,2,30,70,0.9037,0.8936,0,0,0
ch09,2,70,100,0.3279,0.2086,0,0,0
ch09,3,0,15,3.1206,1.4799,0.663,0,0
ch09,3,15,30,0.3797,0.4685,0,0,0
ch09,3,30,70,0.24,0,0,0,0
ch09,3,70,,0.0731,0,0,0,0
ch09,4,0,15,0.976,1.644,0,0,0
ch09,4,15,30,0.538,0.608,0,0,0
ch09,4,30,70,0.328,0.537,0,0,0
ch09,4,70,110,0.0035,0.0351,0,0,0
ch09,5,0,15,2.2153,2.6829,0.0995,0,0
ch09,5,15,30,0.5089,0.1586,0,0,0
ch09,5,30,70,0.3815,0.2333,0,0,0
ch09,5,70,104,0.2183,0.0524,0,0,0
ch10,1,0,15,2.3631,1.5024,0,0,0
ch10,1,15,30,0.3599,0.4965,0,0,0
ch10,1,30,70,0.3807,0.1637,0,0,0
ch10,2,0,15,4.6634,0.7339,0,1.2849,0
ch10,2,15,30,1.1153,0.3784,0.2061,0,12.4233
ch10,2,30,70,0.1612,0,0,0,0
ch10,3,0,15,2.0267,1.424,0.4366,0.7876,0
ch10,3,15,30,0.3016,0.4596,0.154,0,0
ch10,3,30,70,0.2913,0.1293,0,0,0
ch10,4,0,15,5.5286,0.5739,0.8467,0,0
ch10,4,15,30,0.6558,0.2309,0,0,0
ch10,4,30,70,0.1804,0,0,0,0
ch10,5,0,15,1.856,2.0482,0.4364,0,0
ch10,5,15,30,0.1703,0.1332,0,0,0
ch10,5,30,70,0.212,0.0845,0,0,0
ch11,1,0,15,2.07,1.596,0.074,0,0
ch11,1,15,30,0.514,0.823,0.646,1.078,0
ch11,1,30,70,0.53,0.411,0.712,0,0
ch11,2,0,15,4.347,2.46,0.67,1.465,0
ch11,2,15,30,0.867,0.22,0,0,0
ch11,2,30,70,0.358,0.085,0,0,0
ch11,3,0,15,6.304,3.641,0.683,8.376,0
ch11,3,15,30,2.234,1.542,1.303,1.835,13.685
ch11,3,30,70,0.675,0.613,0,0,9.619
ch11,4,0,15,1.28,1.967,0.118,0,0
ch11,4,15,30,1.417,0.494,0.133,0,0
ch11,4,30,70,0.026,0.017,0,0,0
ch11,5,0,15,4.449,1.14,0,0,0
ch11,5,15,30,1.089,0.238,0.742,0,0
ch11,5,30,70,0.402,0.038,0,0,0
ch12,1,0,15,2.5013,0.992,0.1361,0,0
ch12,1,15,30,0.3922,0.2738,0.8406,0,0
ch12,1,30,70,0.2466,0.1163,0,0,0
ch12,1,70,95,0.0725,0,0,0,0
ch12,2,0,15,2.4093,1.4728,1.086,0,0
ch12,2,15,30,0.4693,0.5896,0.7854,0,0
ch12,2,30,70,0.3431,0.4194,0,0,0
ch12,2,70,,0,0,0,0,0
ch12,3,0,15,0.8113,1.1054,0.4964,0,0
ch12,3,15,30,0.1326,0.506,0,0,0
ch12,3,30,70,0.1768,0.2602,0,0,0
ch12,3,70,95,0.0308,0,0,0,0
ch12,4,0,15,2.0347,0.9737,1.3883,0.5268,0
ch12,4,15,30,0.5536,0.5599,0,0,0
ch12,4,30,70,0.5363,0.4379,0,0,0
ch12,4,70,95,0.788,0.0452,0,0,0
ch12,5,0,15,2.2913,1.9102,0.3777,0,0
ch12,5,15,30,0.3584,0.1052,0.0947,0,0
ch12,5,30,70,0.1935,0.0174,0,0,0
ch12,5,70,90,0.1052,0.0192,0,0,0
ch13,1,0,15,1.024,0.783,0.759,0,0
ch13,1,15,30,0.777,0.208,0,0,0
ch13,1,30,70,0.326,0.032,0,0,0
ch13,1,70,80,0.084,0,0,0,0
ch13,2,0,15,2.008,1.172,0.137,0,0
ch13,2,15,30,2.377,0.959,0.772,1.918,0
ch13,2,30,70,0.379,0.135,0.094,0,0
ch13,2,70,,0,0,0,0,0
ch13,3,0,15,3.782,2.208,0.569,0.715,0
ch13,3,15,30,0.365,0.682,1.352,1.054,0
ch13,3,30,70,0.907,0.196,2.362,0,0
ch13,3,70,,0,0,0,0,0
ch13,4,0,15,1.982,1.711,0.481,0,0
ch13,4,15,30,0.484,0.223,0,0,0
ch13,4,30,70,0.408,0.233,0,0,0
ch13,4,70,,0,0,0,0,0
ch13,5,0,15,3.168,0.567,0.167,0,0
ch13,5,15,30,0.703,0.204,0.048,0,0
ch13,5,30,70,0.259,0,0,0,0
ch13,5,70,,0,0,0,0,0
ch14,1,0,15,0.684,0.545,0.769,0,0
ch14,1,15,30,0.638,0.161,0,0,0
ch14,1,30,70,0.06,0,0,0,0
ch14,2,0,15,0.606,0.453,0.132,0,0
ch14,2,15,30,1.6,0.594,0.175,0,0
ch14,2,30,70,0.268,0.23,0,0,0
ch14,3,0,15,0.702,1.947,0.452,0,0
ch14,3,15,30,0.208,0.577,0.07,0,0
ch14,3,30,70,0.123,0,0,0,0
ch14,4,0,15,1.996,1.78,1.166,3.646,2.002
ch14,4,15,30,0.69,0.421,0.142,0,0
ch14,4,30,70,0.186,0.169,0,0,0
ch14,5,0,15,0.674,0.707,0,0,0
ch14,5,15,30,0.291,0.122,0,0,0
ch14,5,30,70,0.063,0.087,0,0,0
ch15,1,0,15,1.066,1.648,0.495,0,0
ch15,1,15,30,0.322,0.566,0,0,0
ch15,1,30,70,0.118,0.051,0.086,0,0
ch15,1,70,82,0.014,0,0,0,0
ch15,2,0,15,0.868,0.882,0.58,0,0
ch15,2,15,30,0.356,0.89,0.64,0,0
ch15,2,30,70,0.644,0.19,0.454,1.405,0
ch15,2,70,86,0.025,0,0,0,0
ch15,3,0,15,1.76,1.066,0.793,0,0
ch15,3,15,30,0.286,0.125,0,0,0
ch15,3,30,70,0.041,0,0,0,0
ch15,3,70,81,0.03,0,0,0,0
ch15,4,0,15,4.84,0.955,0.448,0,0
ch15,4,15,30,1.452,0.575,0.158,0,0
ch15,4,30,70,0.811,0.168,0,0,7.526
ch15,4,70,80,0.037,0.049,0,0,0
ch15,5,0,15,1.207,0.714,0.991,0,0
ch15,5,15,30,0.229,0.229,0,0,0
ch15,5,30,70,0.024,0,0,0,0
ch15,5,70,85,0,0,0,0,0
ch16,1,0,15,2.8904,1.6601,1.2634,0,0
ch16,1,15,30,0.372,0.3349,0,0,0
ch16,1,30,70,0.1825,0.1916,0,0,0
ch16,1,70,,0,0,0,0,0
ch16,2,0,15,1.8271,0.5606,0.7127,1.2842,0
ch16,2,15,30,0.4288,0.3686,0.2848,0,0
ch16,2,30,70,0.9158,1.3843,2.9227,0,0
ch16,2,70,80,0.3315,0.6726,0,0,0
ch16,3,0,15,2.9914,1.692,0.2583,0,0
ch16,3,15,30,0.4617,0.2315,0,0,0
ch16,3,30,74,0.3025,0.3759,0,0,0
ch16,3,70,,0,0,0,0,0
ch16,4,0,15,1.812,2.1957,0,0,0
ch16,4,15,30,1.2691,0.3576,0,0,0
ch16,4,30,70,0.2207,0.1575,0,0,0
ch16,4,70,,0,0,0,0,0
ch16,5,0,15,1.198,1.232,0,0,0
ch16,5,15,30,0.2498,0.2827,0,0,0
ch16,5,30,70,0.1669,0.2043,0,0,0
ch16,5,70,,0,0,0,0,0
ch17,1,0,15,6.772,2.104,0,0,0
ch17,1,15,30,0.31,0.596,0.401,0,0
ch17,1,30,70,0.094,0.043,0,0,0
ch17,2,0,15,1.672,1.304,0,0,0
ch17,2,15,30,0.326,0.79,0.378,0,0
ch17,2,30,70,0.304,0.573,0,0,0
ch17,3,0,15,5.294,2.386,0,0,0
ch17,3,15,30,0.336,0.103,0,0,0
ch17,3,30,70,0.103,0,0,0,0
ch17,4,0,15,3.073,2.985,0.535,0,0
ch17,4,15,30,3.896,0.594,0.638,0,0
ch17,4,30,70,0.25,0.153,0,0,0
ch17,5,0,15,4.25,0.983,0,0,0
ch17,5,15,30,0.658,0.504,0,0,0
ch17,5,30,70,0.339,0.081,0,0,0
ch18,1,0,15,2.679,1.232,0.918,0,0
ch18,1,15,30,1.095,0.841,0,0,0
ch18,1,30,70,0.249,0.147,0,0,0
ch18,2,0,15,2.091,0.774,0,0,0
ch18,2,15,30,0.493,0.614,0.689,0,0
ch18,2,30,70,0.439,0.734,0,0,0
ch18,3,0,15,6.185,2.081,0,1.267,0
ch18,3,15,30,0.734,0.631,0,0,0
ch18,3,30,70,0.411,0.184,0,0,0
ch18,4,0,15,4.963,0.479,0.433,0,0
ch18,4,15,30,1.089,0.151,0.375,0,0
ch18,4,30,70,0.442,0.579,0.788,0,0
ch18,5,0,15,1.409,0.37,0,0,0
ch18,5,15,30,0.523,0.475,0,0,0
ch18,5,30,70,0.181,0.257,0,0,0
