"Date","chamber","stemnumber","branchnumber","diameter","length","noexpleaves","heightfloor"
2008-04-15,"ch01","1","1",3.25,37,17,15
2008-04-15,"ch02","1","1",5.53,70,54,7
2008-04-15,"ch03","1","1",4.49,47,46,10
2008-04-15,"ch04","1","1",12.45,125,336,12
2008-04-15,"ch05","1","1",4.22,41,8,11
2008-04-15,"ch06","1","1",3.82,45,14,9
2008-04-15,"ch07","1","1",4.02,47,20,4
2008-04-15,"ch08","1","1",2.61,48,21,15
2008-04-15,"ch09","1","1",3.035,50,6,6
2008-04-15,"ch10","1","1",3.84,79,46,9
2008-04-15,"ch11","1","1",2.54,22,11,9
2008-04-15,"ch12","1","1",3.85,55,2,10
2008-04-15,"ch01","1.1","1",13.25,137,337,208
2008-04-15,"ch03","1.1","1",2.635,28,8,46
2008-04-15,"ch05","1.1","1",4.99,80,25,177
2008-04-15,"ch08","1.1","1",6.025,92,123,58
2008-04-15,"ch10","1.1","1",5.2,62,76,87.5
2008-04-15,"ch11","1.1","1",6.825,107,345,81
2008-04-15,"ch04","1.1.1","1",5.92,65,25,72
2008-04-15,"ch04","1.1.2","1",5.84,52,23,72
2008-04-15,"ch01","1.2","1",2.63,48,17,208
2008-04-15,"ch03","1.2","1",2.43,55,19,42
2008-04-15,"ch04","1.2","1",2.72,39,10,47
2008-04-15,"ch08","1.2","1",4.14,54,47,42
2008-04-15,"ch10","1.2","1",3.81,58,33,100
2008-04-15,"ch11","1.2","1",5.645,82,218,74
2008-04-15,"ch04","1.2.1","1",1.93,30,10,82
2008-04-15,"ch05","1.2.1","1",11.88,160,324,177
2008-04-15,"ch04","1.2.2","1",9.93,100,103,86
2008-04-15,"ch05","1.2.2","1",3.05,41,11,192
2008-04-15,"ch01","1","2",3.39,42,16,17
2008-04-15,"ch02","1","2",7.47,18,66,9
2008-04-15,"ch03","1","2",3.145,43,11,12
2008-04-15,"ch04","1","2",7.03,64,15,19
2008-04-15,"ch06","1","2",3.3,48,30,13
2008-04-15,"ch07","1","2",4.22,47,16,7
2008-04-15,"ch08","1","2",3.58,64,17,15
2008-04-15,"ch09","1","2",4.16,80,24,8
2008-04-15,"ch10","1","2",4.88,61,54,13
2008-04-15,"ch11","1","2",1.565,10,6,10
2008-04-15,"ch12","1","2",2.81,53,4,11
2008-04-15,"ch01","1.1","2",2.77,56,24,214
2008-04-15,"ch03","1.1","2",2.03,30,10,50.5
2008-04-15,"ch05","1.1","2",5.39,97,63,180
2008-04-15,"ch08","1.1","2",4.505,79,79,62
2008-04-15,"ch10","1.1","2",7.35,95,146,110.5
2008-04-15,"ch11","1.1","2",2.295,57,12,81
2008-04-15,"ch04","1.1.1","2",3.5,55,18,73
2008-04-15,"ch04","1.1.2","2",4.78,53,16,78
2008-04-15,"ch01","1.2","2",3.09,53,19,220
2008-04-15,"ch03","1.2","2",11.79,116,343,45
2008-04-15,"ch04","1.2","2",4.81,64,33,57
2008-04-15,"ch08","1.2","2",2.765,77,22,46
2008-04-15,"ch10","1.2","2",4.73,72,57,109
2008-04-15,"ch11","1.2","2",3.995,54,67,84
2008-04-15,"ch04","1.2.1","2",6.62,65,13,83
2008-04-15,"ch05","1.2.1","2",7.13,93,58,179
2008-04-15,"ch04","1.2.2","2",3.44,40,20,92
2008-04-15,"ch05","1.2.2","2",,,16,
2008-04-15,"ch01","1","3",4.54,57,12,16
2008-04-15,"ch02","1","3",5.57,80.5,119,12
2008-04-15,"ch03","1","3",3.595,52,37,17.5
2008-04-15,"ch04","1","3",6.72,100,13,23
2008-04-15,"ch05","1","3",,,4,
2008-04-15,"ch07","1","3",4.54,39,28,7
2008-04-15,"ch08","1","3",4.19,45,24,18
2008-04-15,"ch09","1","3",5.015,81,62,8
2008-04-15,"ch10","1","3",6.32,73,89,13.5
2008-04-15,"ch11","1","3",1.165,11,2,11.5
2008-04-15,"ch12","1","3",4.155,27,67,14
2008-04-15,"ch01","1.1","3",3.19,74,27,217
2008-04-15,"ch03","1.1","3",3.19,62,35,57.5
2008-04-15,"ch05","1.1","3",5.2,70,23,183
2008-04-15,"ch08","1.1","3",6.47,87,136,66
2008-04-15,"ch10","1.1","3",4.1,67,47,124.5
2008-04-15,"ch11","1.1","3",2.255,46,20,86
2008-04-15,"ch04","1.1.1","3",4.11,40,15,75
2008-04-15,"ch04","1.1.2","3",16.3,125,216,80
2008-04-15,"ch01","1.2","3",6.21,89,64,221
2008-04-15,"ch03","1.2","3",10.35,101,175,64
2008-04-15,"ch04","1.2","3",8.85,92,62,65
2008-04-15,"ch08","1.2","3",6.005,104,142,54
2008-04-15,"ch10","1.2","3",4.36,77,72,116
2008-04-15,"ch11","1.2","3",2.785,49,19,91
2008-04-15,"ch04","1.2.1","3",3.45,40,44,83
2008-04-15,"ch05","1.2.1","3",5.39,80,24,183
2008-04-15,"ch04","1.2.2","3",2.88,68,12,92
2008-04-15,"ch05","1.2.2","3",,,13,
2008-04-15,"ch01","1","4",3.2,40,57,17
2008-04-15,"ch02","1","4",5.495,80.5,123,15
2008-04-15,"ch03","1","4",6.045,86,159,18.5
2008-04-15,"ch05","1","4",4.34,74,10,14
2008-04-15,"ch07","1","4",4.61,84,24,11
2008-04-15,"ch08","1","4",3.555,69,30,19
2008-04-15,"ch09","1","4",9.175,106,82,13
2008-04-15,"ch10","1","4",4.47,67,33,16.5
2008-04-15,"ch11","1","4",1.665,13,7,12
2008-04-15,"ch12","1","4",2.66,33,6,14.5
2008-04-15,"ch01","1.1","4",3.22,64,27,228
2008-04-15,"ch03","1.1","4",3.51,40,26,67.5
2008-04-15,"ch05","1.1","4",5.27,78,34,190
2008-04-15,"ch08","1.1","4",5.975,87,86,71
2008-04-15,"ch10","1.1","4",6.5,78,78,130.5
2008-04-15,"ch11","1.1","4",2.97,66,55,90
2008-04-15,"ch04","1.1.1","4",1.48,9,1,
2008-04-15,"ch04","1.1.2","4",4.77,48,12,87
2008-04-15,"ch01","1.2","4",1.95,32,30,224
2008-04-15,"ch03","1.2","4",2.97,26,7,55
2008-04-15,"ch08","1.2","4",7.97,120,145,61
2008-04-15,"ch10","1.2","4",5.27,81,74,121
2008-04-15,"ch11","1.2","4",1.99,48,20,94
2008-04-15,"ch04","1.2.1","4",3.75,64,20,84
2008-04-15,"ch05","1.2.1","4",4.85,83,21,186
2008-04-15,"ch04","1.2.2","4",3.05,37,8,93
2008-04-15,"ch05","1.2.2","4",3.31,50,13,193
2008-04-15,"ch01","1","5",4.09,42,22,21
2008-04-15,"ch02","1","5",6.745,20,45,18
2008-04-15,"ch03","1","5",6.515,60,43,23.5
2008-04-15,"ch04","1","5",4.55,66,150,28
2008-04-15,"ch06","1","5",4.3,63,35,18
2008-04-15,"ch07","1","5",5.62,56,32,11
2008-04-15,"ch08","1","5",6.97,84,86,20
2008-04-15,"ch09","1","5",4.435,88,35,13
2008-04-15,"ch10","1","5",6.39,88,96,18.5
2008-04-15,"ch11","1","5",3.895,73,43,14
2008-04-15,"ch12","1","5",1.44,57,3,15.5
2008-04-15,"ch01","1.1","5",5.54,78,79,229
2008-04-15,"ch03","1.1","5",3.61,40,22,72.5
2008-04-15,"ch05","1.1","5",7.19,98,44,202
2008-04-15,"ch08","1.1","5",7.995,99,140,77
2008-04-15,"ch10","1.1","5",3.76,56,36,131.5
2008-04-15,"ch11","1.1","5",1.795,58,23,94
2008-04-15,"ch04","1.1.1","5",7.35,85,49,80
2008-04-15,"ch04","1.1.2","5",3.93,48,13,90
2008-04-15,"ch01","1.2","5",3.71,77,28,227
2008-04-15,"ch03","1.2","5",10.725,110,208,59
2008-04-15,"ch08","1.2","5",3.48,57,32,65
2008-04-15,"ch10","1.2","5",5.45,63,68,127
2008-04-15,"ch11","1.2","5",3.155,60,50,98
2008-04-15,"ch04","1.2.1","5",4.37,75,21,85
2008-04-15,"ch05","1.2.1","5",7.27,107,59,186
2008-04-15,"ch04","1.2.2","5",4.83,60,29,100
2008-04-15,"ch05","1.2.2","5",4.21,67,18,193
2008-04-15,"ch01","1","6",3.15,76,86,22
2008-04-15,"ch02","1","6",5.875,90,57,20.1
2008-04-15,"ch03","1","6",5.32,79,56,25
2008-04-15,"ch04","1","6",7.59,80,23,36
2008-04-15,"ch05","1","6",5.85,62,7,25
2008-04-15,"ch06","1","6",3.93,73,4,22
2008-04-15,"ch07","1","6",3.03,45,5,13
2008-04-15,"ch08","1","6",19.53,220,882,26
2008-04-15,"ch09","1","6",5.585,79,70,17
2008-04-15,"ch10","1","6",5.18,64,59,21.5
2008-04-15,"ch11","1","6",2.705,45,26,17
2008-04-15,"ch12","1","6",4.12,71,42,16
2008-04-15,"ch01","1.1","6",4.9,75,36,234
2008-04-15,"ch03","1.1","6",4.545,84,57,80.5
2008-04-15,"ch05","1.1","6",7.14,68,96,211
2008-04-15,"ch08","1.1","6",4.5955,89,69,84
2008-04-15,"ch10","1.1","6",5.25,81,72,136.5
2008-04-15,"ch11","1.1","6",2.335,50,24,97
2008-04-15,"ch04","1.1.1","6",10.77,130,147,88
2008-04-15,"ch04","1.1.2","6",4.85,52,17,96
2008-04-15,"ch01","1.2","6",4.78,70,22,231
2008-04-15,"ch03","1.2","6",5.12,92,49,61
2008-04-15,"ch08","1.2","6",6.185,108,133,70
2008-04-15,"ch10","1.2","6",5.15,70.5,57,133
2008-04-15,"ch11","1.2","6",2.24,51,31,102
2008-04-15,"ch04","1.2.1","6",3.56,71,32,86
2008-04-15,"ch05","1.2.1","6",3.24,41,11,201
2008-04-15,"ch04","1.2.2","6",2.81,32,10,102
2008-04-15,"ch05","1.2.2","6",4.32,95,32,203
2008-04-15,"ch01","1","7",4.67,64,54,24
2008-04-15,"ch02","1","7",6.325,90.2,108,25
2008-04-15,"ch03","1","7",3.2,50,12,28.5
2008-04-15,"ch04","1","7",8,83,75,38
2008-04-15,"ch05","1","7",3.376,48,18,30
2008-04-15,"ch06","1","7",4.95,65,42,22
2008-04-15,"ch07","1","7",9.22,125,106,19
2008-04-15,"ch08","1","7",5.025,61,29,28
2008-04-15,"ch09","1","7",16.875,87,551,21
2008-04-15,"ch10","1","7",10.64,126,313,31.5
2008-04-15,"ch11","1","7",4.32,68,129,18
2008-04-15,"ch12","1","7",7.395,90,155,18
2008-04-15,"ch01","1.1","7",7.55,90,99,238
2008-04-15,"ch03","1.1","7",4.67,66,27,90.5
2008-04-15,"ch05","1.1","7",8.65,109,62,220
2008-04-15,"ch08","1.1","7",4.835,78,43,90
2008-04-15,"ch10","1.1","7",5.05,73,49,140.5
2008-04-15,"ch11","1.1","7",3.7,80,78,103
2008-04-15,"ch04","1.1.1","7",7.72,80,75,90
2008-04-15,"ch04","1.1.2","7",3.45,25,16,
2008-04-15,"ch01","1.2","7",5.81,88,86,237
2008-04-15,"ch03","1.2","7",12.555,108,373,72
2008-04-15,"ch08","1.2","7",2.795,62,19,77
2008-04-15,"ch10","1.2","7",4.32,63,56,137
2008-04-15,"ch11","1.2","7",3.14,53,33,102
2008-04-15,"ch04","1.2.1","7",6.34,86,35,87
2008-04-15,"ch05","1.2.1","7",2.8,68,15,206
2008-04-15,"ch04","1.2.2","7",4.23,60,15,109
2008-04-15,"ch05","1.2.2","7",4.91,96,21,210
2008-04-15,"ch01","1","8",5.61,44,44,25
2008-04-15,"ch02","1","8",6.185,74,128,34
2008-04-15,"ch03","1","8",9.485,117,382,31
2008-04-15,"ch04","1","8",,,113,
2008-04-15,"ch05","1","8",5.18,90,13,34
2008-04-15,"ch06","1","8",4.88,70,48,22.5
2008-04-15,"ch07","1","8",5.8,60,46,24
2008-04-15,"ch08","1","8",4.685,63,39,29
2008-04-15,"ch09","1","8",6.99,120,60,21
2008-04-15,"ch10","1","8",5.85,81,68,36.5
2008-04-15,"ch11","1","8",2.21,30,23,20
2008-04-15,"ch12","1","8",2.965,47,50,19
2008-04-15,"ch01","1.1","8",5.86,85,88,240
2008-04-15,"ch03","1.1","8",3.105,27,12,98.5
2008-04-15,"ch05","1.1","8",5.85,78,37,230
2008-04-15,"ch08","1.1","8",4.95,91,72,96
2008-04-15,"ch10","1.1","8",5.4,71,44,147.5
2008-04-15,"ch11","1.1","8",4.93,90,129,103
2008-04-15,"ch04","1.1.1","8",8.12,90,95,94
2008-04-15,"ch04","1.1.2","8",2.5,16,7,102
2008-04-15,"ch01","1.2","8",3.82,66,22,243
2008-04-15,"ch03","1.2","8",3.94,69,48,71.5
2008-04-15,"ch08","1.2","8",2.755,63,14,83
2008-04-15,"ch10","1.2","8",4.98,67,48,144
2008-04-15,"ch11","1.2","8",3.825,69,86,107
2008-04-15,"ch04","1.2.1","8",5.55,99,25,90
2008-04-15,"ch05","1.2.1","8",5.03,95,30,209
2008-04-15,"ch04","1.2.2","8",4.13,45,14,110
2008-04-15,"ch05","1.2.2","8",5.6,70,38,220
2008-04-15,"ch01","1","9",4.24,45,22,29
2008-04-15,"ch02","1","9",7.045,98,157,36
2008-04-15,"ch03","1","9",8.58,99,222,36.5
2008-04-15,"ch04","1","9",,,107,
2008-04-15,"ch05","1","9",5.68,66,44,41
2008-04-15,"ch06","1","9",7,68,124,24.5
2008-04-15,"ch07","1","9",5.06,56,36,31
2008-04-15,"ch08","1","9",6.18,61,56,31
2008-04-15,"ch09","1","9",5.17,76,64,24
2008-04-15,"ch10","1","9",3.54,60,23,40.5
2008-04-15,"ch11","1","9",10.5,126,406,22
2008-04-15,"ch12","1","9",6.565,63,116,23
2008-04-15,"ch01","1.1","9",7.56,113,166,242
2008-04-15,"ch03","1.1","9",6.185,77.5,87,107.5
2008-04-15,"ch05","1.1","9",5.31,82,19,238
2008-04-15,"ch08","1.1","9",9.375,100,125,104
2008-04-15,"ch10","1.1","9",7.36,98,104,151.5
2008-04-15,"ch11","1.1","9",3.37,63,46,111
2008-04-15,"ch04","1.1.1","9",3,44,13,102
2008-04-15,"ch04","1.1.2","9",3.74,50,16,108
2008-04-15,"ch01","1.2","9",5.52,112,106,248
2008-04-15,"ch03","1.2","9",3.24,44,15,75
2008-04-15,"ch08","1.2","9",6.565,112,116,93
2008-04-15,"ch10","1.2","9",5.21,73,75,149
2008-04-15,"ch11","1.2","9",3.51,23,37,111
2008-04-15,"ch04","1.2.1","9",5.16,86,27,93
2008-04-15,"ch05","1.2.1","9",7.6,69,69,213
2008-04-15,"ch04","1.2.2","9",4.22,50,13,115
2008-04-15,"ch05","1.2.2","9",4.27,70,30,224
2008-04-15,"ch01","1","10",6.96,82,98,30
2008-04-15,"ch02","1","10",7.545,47,215,47
2008-04-15,"ch05","1","10",7.09,108,81,47
2008-04-15,"ch06","1","10",5.28,70,57,24.5
2008-04-15,"ch07","1","10",10.53,147,311,33
2008-04-15,"ch09","1","10",9.13,109,156,28
2008-04-15,"ch10","1","10",2.1,15,2,48.5
2008-04-15,"ch11","1","10",4.36,51,159,24
2008-04-15,"ch12","1","10",9.97,78,217,23.2
2008-04-15,"ch01","1.1","10",5.76,84,82,246
2008-04-15,"ch05","1.1","10",5.75,89,34,249
2008-04-15,"ch08","1.1","10",6.065,92,69,112
2008-04-15,"ch10","1.1","10",7.08,111,82,156
2008-04-15,"ch11","1.1","10",4.68,77,113,116
2008-04-15,"ch04","1.1.1","10",6.95,46,36,106
2008-04-15,"ch04","1.1.2","10",2.88,26,9,109
2008-04-15,"ch01","1.2","10",3.45,70,25,255
2008-04-15,"ch03","1.2","10",2.97,30,5,77
2008-04-15,"ch08","1.2","10",3.495,64,31,96
2008-04-15,"ch10","1.2","10",5.06,79,54,154
2008-04-15,"ch11","1.2","10",5.7,87,43,121
2008-04-15,"ch04","1.2.1","10",5.43,76,39,97
2008-04-15,"ch05","1.2.1","10",8.13,112,59,227
2008-04-15,"ch04","1.2.2","10",3.2,40,10,122
2008-04-15,"ch05","1.2.2","10",5.29,39,8,233
2008-04-15,"ch01","1","11",6.65,111,102,37
2008-04-15,"ch02","1","11",6.93,100,183,54
2008-04-15,"ch05","1","11",8.53,110,102,57
2008-04-15,"ch06","1","11",7.4,60,134,27.5
2008-04-15,"ch07","1","11",4.07,53,25,39
2008-04-15,"ch09","1","11",6.275,76,86,30
2008-04-15,"ch10","1","11",12.32,153,606,52.5
2008-04-15,"ch11","1","11",6.415,91,318,29
2008-04-15,"ch12","1","11",8.885,70,181,26.2
2008-04-15,"ch01","1.1","11",7.72,104,193,253
2008-04-15,"ch03","1.1","11",4.105,57,41,121.5
2008-04-15,"ch05","1.1","11",6.86,85,37,252
2008-04-15,"ch08","1.1","11",8.085,94,113,123
2008-04-15,"ch10","1.1","11",3.85,72,27,159.5
2008-04-15,"ch11","1.1","11",5.735,35,136,127
2008-04-15,"ch04","1.1.1","11",5.1,50,25,112
2008-04-15,"ch04","1.1.2","11",2.64,8,1,
2008-04-15,"ch01","1.2","11",8.35,137,214,260
2008-04-15,"ch03","1.2","11",4.29,70,32,95
2008-04-15,"ch08","1.2","11",8.29,147,186,106
2008-04-15,"ch10","1.2","11",4.84,66.5,41,158.5
2008-04-15,"ch11","1.2","11",4.895,53,99,124
2008-04-15,"ch04","1.2.1","11",3.83,76,20,102
2008-04-15,"ch05","1.2.1","11",11.19,118,93,240
2008-04-15,"ch04","1.2.2","11",2.7,40,9,126
2008-04-15,"ch05","1.2.2","11",4.45,86,43,242
2008-04-15,"ch01","1","12",7.19,96,117,42
2008-04-15,"ch02","1","12",7.385,92,135,67
2008-04-15,"ch05","1","12",10.92,145,171,62
2008-04-15,"ch06","1","12",4.58,88,49,27.5
2008-04-15,"ch07","1","12",3.45,47,14,42
2008-04-15,"ch09","1","12",6.385,83,78,36
2008-04-15,"ch10","1","12",6.9,81,159,60
2008-04-15,"ch11","1","12",7.435,84,278,30
2008-04-15,"ch12","1","12",9.19,69,346,30.2
2008-04-15,"ch01","1.1","12",7.6,105,170,261
2008-04-15,"ch03","1.1","12",2.61,29,8,127
2008-04-15,"ch05","1.1","12",8.04,102,79,262
2008-04-15,"ch08","1.1","12",8.735,111,186,131
2008-04-15,"ch10","1.1","12",5.05,79,30,170
2008-04-15,"ch11","1.1","12",6,102,142,127
2008-04-15,"ch04","1.1.1","12",4.61,60,19,116
2008-04-15,"ch04","1.1.2","12",4.8,70,46,115
2008-04-15,"ch01","1.2","12",8.45,113,147,268
2008-04-15,"ch03","1.2","12",10.615,88,271,89.5
2008-04-15,"ch08","1.2","12",7.04,101,137,112
2008-04-15,"ch10","1.2","12",4.19,70,20,165.5
2008-04-15,"ch11","1.2","12",4.84,57,100,136
2008-04-15,"ch04","1.2.1","12",2.64,35,18,107
2008-04-15,"ch05","1.2.1","12",6.18,74,20,244
2008-04-15,"ch04","1.2.2","12",3.33,60,17,134
2008-04-15,"ch05","1.2.2","12",4.06,67,29,250
2008-04-15,"ch01","1","13",3,42,30,31
2008-04-15,"ch02","1","13",6.725,85,72,70
2008-04-15,"ch05","1","13",7.22,118,82,72
2008-04-15,"ch06","1","13",5.89,68,62,31.5
2008-04-15,"ch07","1","13",6.42,90,155,48
2008-04-15,"ch09","1","13",4.655,57,100,36.5
2008-04-15,"ch10","1","13",11.7,123,395,62.5
2008-04-15,"ch12","1","13",4.315,56,111,35.2
2008-04-15,"ch01","1.1","13",8.69,101,346,265
2008-04-15,"ch03","1.1","13",3.135,37,19,138
2008-04-15,"ch05","1.1","13",6.61,83,34,269
2008-04-15,"ch08","1.1","13",16.265,196,438,140
2008-04-15,"ch10","1.1","13",5.53,83,34,174.5
2008-04-15,"ch11","1.1","13",5.745,100,147,140
2008-04-15,"ch04","1.1.1","13",6.01,38,10,118
2008-04-15,"ch04","1.1.2","13",4.52,49,15,129
2008-04-15,"ch01","1.2","13",6.61,81,121,274
2008-04-15,"ch03","1.2","13",5.245,57,52,99.5
2008-04-15,"ch08","1.2","13",7.94,95,147,120
2008-04-15,"ch10","1.2","13",5.15,86.5,38,170
2008-04-15,"ch11","1.2","13",6.22,97,100,144
2008-04-15,"ch04","1.2.1","13",3.45,33,15,114
2008-04-15,"ch05","1.2.1","13",8.5,111,86,259
2008-04-15,"ch04","1.2.2","13",4.94,57,14,140
2008-04-15,"ch05","1.2.2","13",3.61,51,39,234
2008-04-15,"ch01","1","14",8.51,123,194,50
2008-04-15,"ch02","1","14",7.505,100,163,79
2008-04-15,"ch05","1","14",11.66,134,260,79
2008-04-15,"ch06","1","14",7.73,64,137,31.5
2008-04-15,"ch07","1","14",7.82,103,128,52
2008-04-15,"ch09","1","14",10.595,134,301,42.5
2008-04-15,"ch10","1","14",8.15,98,165,71.5
2008-04-15,"ch11","1","14",6.815,89,273,40
2008-04-15,"ch12","1","14",5.13,57,127,36.2
2008-04-15,"ch01","1.1","14",9.21,113,222,275
2008-04-15,"ch03","1.1","14",3.465,45,15,140
2008-04-15,"ch05","1.1","14",10.38,106,129,278
2008-04-15,"ch08","1.1","14",6.68,94,145,149
2008-04-15,"ch10","1.1","14",9.02,85,98,184.5
2008-04-15,"ch11","1.1","14",5.19,79,113,148
2008-04-15,"ch04","1.1.1","14",4.2,53,15,119
2008-04-15,"ch04","1.1.2","14",4.17,48,13,134
2008-04-15,"ch01","1.2","14",7.57,83,93,282
2008-04-15,"ch03","1.2","14",4.775,59,44,97.5
2008-04-15,"ch08","1.2","14",6.38,80,104,126
2008-04-15,"ch10","1.2","14",5.45,81.5,40,174
2008-04-15,"ch11","1.2","14",6.225,92,139,151
2008-04-15,"ch04","1.2.1","14",4.17,68,43,121
2008-04-15,"ch05","1.2.1","14",6.51,103,22,267
2008-04-15,"ch04","1.2.2","14",3.21,32,11,144
2008-04-15,"ch05","1.2.2","14",4.06,85,48,263
2008-04-15,"ch01","1","15",8.65,130,451,56
2008-04-15,"ch02","1","15",7.485,99,195,86
2008-04-15,"ch05","1","15",8.01,113,120,87
2008-04-15,"ch06","1","15",12.67,118,373,37.5
2008-04-15,"ch07","1","15",11.35,124,354,64
2008-04-15,"ch09","1","15",6.575,80,142,46
2008-04-15,"ch11","1","15",7.305,83,305,44
2008-04-15,"ch12","1","15",3.67,41,61,43.7
2008-04-15,"ch01","1.1","15",12.47,156,399,284
2008-04-15,"ch03","1.1","15",5.735,82,75,144
2008-04-15,"ch05","1.1","15",8.44,92,70,281
2008-04-15,"ch08","1.1","15",9.04,99,155,163
2008-04-15,"ch10","1.1","15",4.85,82,34,187.5
2008-04-15,"ch11","1.1","15",5.295,101,124,161
2008-04-15,"ch04","1.1.1","15",4.77,50,18,122
2008-04-15,"ch04","1.1.2","15",4.66,62,15,142
2008-04-15,"ch01","1.2","15",10.84,133,303,288
2008-04-15,"ch03","1.2","15",16.1,115,663,102.5
2008-04-15,"ch08","1.2","15",6.815,96,94,133
2008-04-15,"ch10","1.2","15",4.85,65.5,23,196
2008-04-15,"ch11","1.2","15",5.535,82,139,156
2008-04-15,"ch04","1.2.1","15",4.54,46,20,127
2008-04-15,"ch05","1.2.1","15",3.36,105,97,278
2008-04-15,"ch04","1.2.2","15",4.65,50,12,148
2008-04-15,"ch05","1.2.2","15",5.78,85,59,271
2008-04-15,"ch01","1","16",11.99,129,302,60
2008-04-15,"ch02","1","16",8.58,98,171,100
2008-04-15,"ch05","1","16",13.14,159,280,93
2008-04-15,"ch06","1","16",7.32,70,154,39.5
2008-04-15,"ch07","1","16",2.93,40,14,67
2008-04-15,"ch09","1","16",11.035,119,270,52.5
2008-04-15,"ch11","1","16",3.47,71,61,55
2008-04-15,"ch12","1","16",3.13,57,51,45.2
2008-04-15,"ch01","1.1","16",12.04,142,242,292
2008-04-15,"ch03","1.1","16",2.665,38.1,11,149.5
2008-04-15,"ch05","1.1","16",8.14,105,104,293
2008-04-15,"ch08","1.1","16",8.26,102.5,155,170
2008-04-15,"ch10","1.1","16",5.89,75,25,200.5
2008-04-15,"ch11","1.1","16",4.585,87,77,161
2008-04-15,"ch04","1.1.1","16",6.73,60,26,125
2008-04-15,"ch04","1.1.2","16",5.06,54,24,147
2008-04-15,"ch01","1.2","16",8.03,105,156,298
2008-04-15,"ch03","1.2","16",3.37,44,14,111.5
2008-04-15,"ch08","1.2","16",5.065,65,76,138
2008-04-15,"ch10","1.2","16",5.8,84,37,193.5
2008-04-15,"ch11","1.2","16",7.245,104,178,167
2008-04-15,"ch04","1.2.1","16",5.95,90,33,134
2008-04-15,"ch05","1.2.1","16",6.22,70,40,286
2008-04-15,"ch04","1.2.2","16",5.84,64,20,153
2008-04-15,"ch05","1.2.2","16",7.69,104,81,279
2008-04-15,"ch01","1","17",7.06,88,116,68
2008-04-15,"ch02","1","17",10.93,102,271,103
2008-04-15,"ch05","1","17",8.86,107,146,103
2008-04-15,"ch06","1","17",7.77,86,103,47.5
2008-04-15,"ch07","1","17",3.01,31,11,77
2008-04-15,"ch09","1","17",7.235,80,160,54.5
2008-04-15,"ch12","1","17",3.31,61,73,48.2
2008-04-15,"ch01","1.1","17",9.82,126,272,297
2008-04-15,"ch03","1.1","17",9.05,123,253,155.5
2008-04-15,"ch05","1.1","17",5.79,75,57,298
2008-04-15,"ch08","1.1","17",9.91,128,222,180
2008-04-15,"ch10","1.1","17",7.53,93,68,204
2008-04-15,"ch11","1.1","17",7.3,103,179,168
2008-04-15,"ch04","1.1.1","17",6.84,64,47,130
2008-04-15,"ch04","1.1.2","17",4.19,45,13,153
2008-04-15,"ch01","1.2","17",5.9,87,78,306
2008-04-15,"ch03","1.2","17",6.87,95,182,117.5
2008-04-15,"ch08","1.2","17",7.465,88,111,148
2008-04-15,"ch10","1.2","17",7.25,83,58,207
2008-04-15,"ch11","1.2","17",6.135,90,136,175
2008-04-15,"ch04","1.2.1","17",3.13,60,10,136
2008-04-15,"ch05","1.2.1","17",12.54,143,182,303
2008-04-15,"ch04","1.2.2","17",4.01,40,10,164
2008-04-15,"ch05","1.2.2","17",5.55,79,34,285
2008-04-15,"ch01","1","18",10.37,102,313,72
2008-04-15,"ch02","1","18",8.805,100,232,114
2008-04-15,"ch05","1","18",11.06,122,227,108
2008-04-15,"ch06","1","18",9.16,97,220,51.5
2008-04-15,"ch07","1","18",7,87,173,85.5
2008-04-15,"ch09","1","18",8.285,110,303,62.5
