chamber,stemnumber,branchnumber,leafnumber,leafangle,leaflength,leafwidth,height,distfromstem,comment
ch01,1,13,,60,108,20,25,35,
ch01,1,13,,65,76,20,24,35,
ch01,1,13,1,50,110,25,27,30,
ch01,1,13,,40,113,26,41,19,
ch01,1,13,,70,53,16,30,26,
ch01,1,13,2,55,85,19,25,35,
ch01,1,14,,60,114,28,37,25,
ch01,1,14,,80,90,19,26,31,
ch01,1,14,3,65,100,24,28,52,
ch01,1,14,,75,79,21,0,92,
ch01,1,14,,65,95,25,7,73,
ch01,1,14,4,55,98,27,16,53,
ch01,1,14,,5,97,31,0,67,
ch01,1,14,,45,111,31,0,55,
ch01,1,14,5,55,34,24,6,70,
ch01,1,14,,55,103,25,15,74
ch01,1,14,,5,90,29,0,101
ch01,1,14,6,5,81,26,0,100
ch01,1,14,,70,91,23,15,86
ch01,1,14,,5,96,23,12,36
ch01,1,23,,55,124,23,97,22
ch01,1,23,,55,114,41,82,34
ch01,1,23,7,60,103,25,65,42
ch01,1,23,,55,105,25,58,53
ch01,1,23,,70,112,38,80,31
ch01,1,23,8,70,117,34,112,15
ch01,1,23,,80,39,27,83,30
ch01,1,23,,55,36,29,79,35
ch01,1,23,,85,78,14,37,21
ch01,1,23,9,35,113,31,76,36
ch01,1,23,,0,105,25,63,37
ch01,1,23,,65,74,11,99,26
ch01,1,30,,85,88,23,106,24
ch01,1,30,,45,106,27,86,16
ch01,1,30,10,45,104,28,87,10
ch01,1,30,,45,103,29,38,24
ch01,1,30,,90,84,23,112,16
ch01,1,30,11,55,37,24,101,42
ch01,1,30,,90,86,26,115,23
ch01,1,30,,75,76,24,119,29
ch01,1,30,12,75,103,28,92,32
ch01,1,30,,65,85,22,80,74
ch01,1,30,,90,108,30,88,38
ch01,1,30,13,75,93,22,90,55
ch01,1,30,,90,103,31,108,30
ch01,1,30,,65,109,30,83,60
ch01,1,30,14,50,88,25,107,30
ch01,1,30,,65,93,26,12,31
ch01,1,30,,85,91,23,121,26
ch01,1.2,15,15,65,91,23,262,70
ch01,1.2,15,,50,123,36,250,48
ch01,1.2,15,,65,104,34,270,70
ch01,1.2,15,,55,140,27,230,67
ch01,1.2,15,,65,190,35,210,100
ch01,1.2,15,16,90,124,27,220,100
ch01,1.2,15,17,90,110,30,225,108
ch01,1.2,15,,80,55,11,220,138
ch01,1.2,15,18,90,105,32,230,100
ch01,1.2,15,19,50,82,26,260,75
ch01,1.2,15,,75,65,21,269,33
ch01,1.2,15,20,80,109,34,240,39
ch01,1.2,32,,90,72,17,411,48
ch01,1.2,32,21,80,65,23,410,10
ch01,1.2,32,,80,123,37,406,35
ch01,1.2,32,22,80,116,33,403,25
ch02,1,11,1,70,71,25,5,41
ch02,1,11,,0,99,36,0,60
ch02,1,11,,40,80,31,20,62
ch02,1,11,,0,91,32,0,80
ch02,1,11,2,10,92,31,8,40
ch02,1,11,,20,104,38,2,28
ch02,1,11,3,50,116,32,38,20
ch02,1,25,,30,73,37,132,30
ch02,1,25,,60,135,39,80,63
ch02,1,25,4,60,101,32,109,36
ch02,1,25,,70,85,28,110,58
ch02,1,25,,80,122,35,90,65
ch02,1,25,5,50,105,28,80,90
ch02,1,25,,60,57,15,100,102
ch02,1,25,,75,127,38,75,72,
ch02,1,25,6,70,154,42,90,93,
ch02,1,25,,50,111,39,107,35,
ch02,1,25,,55,130,42,82,52,
ch02,1,25,7,65,100,28,125,35,
ch02,1,45,8,60,148,21,291,36,
ch02,1,45,,40,65,11,295,96,
ch02,1,45,,70,91,19,285,81,
ch02,1,45,9,90,100,19,280,63,
ch02,1,45,,85,96,18,284,90,young leaf
ch02,1,45,,90,150,50,275,36,
ch02,1,45,10,90,122,44,281,63,
ch02,1,45,,90,81,20,293,92,young leaf
ch02,1,45,,80,155,43,296,100,
ch02,1,45,,90,107,37,305,64,
ch02,1,45,11,80,133,40,274,40,
ch02,1,45,,90,128,43,278,43,
ch02,1,45,12,80,156,40,293,75,
ch02,1,55,13,70,67,19,354,36,
ch02,1,55,,90,114,35,349,44,
ch02,1,55,,90,76,17,344,63,young leaf
ch02,1,55,14,90,108,27,348,50,
ch02,1,55,,80,94,21,341,76,young leaf
ch02,1,55,,90,97,20,328,54,young leaf
ch02,1,55,15,90,155,37,332,43,young leaf
ch03,1.2,2,1,60,51,27,20,43,
ch03,1.2,2,,45,40,18,30,40,
ch03,1.2,2,,80,68,25,30,40,
ch03,1.2,2,,80,68,23,40,40,
ch03,1.2,2,2,60,90,32,10,40,
ch03,1.2,2,,60,60,32,24,47,
ch03,1.2,2,,0,65,22,0,40,
ch03,1.2,2,3,65,62,28,15,60,
ch03,1.2,2,,20,83,30,16,60,
ch03,1.2,2,,50,62,29,28,64,
ch03,1.2,2,4,50,79,39,22,78,
ch03,1.2,2,,30,106,32,5,100,
ch03,1.2,2,,0,111,38,0,95,
ch03,1.2,2,5,35,62,19,47,68,young
ch03,1.2,2,,35,59,19,18,52,
ch03,1.2,2,,60,72,27,25,50,
ch03,1.1,39,1,70,110,50,248,22,
ch03,1.1,39,,80,106,36,218,38,
ch03,1.1,39,,45,153,41,277,40,
ch03,1.1,39,2,70,180,43,236,40,
ch03,1.1,39,,65,180,38,246,64,
ch03,1.1,39,,70,200,50,258,67,
ch03,1.1,39,3,70,78,34,263,43,
ch03,1.1,39,,90,200,60,246,48
ch03,1.1,39,,80,200,50,259,67
ch03,1.1,39,4,70,56,27,244,77
ch03,1.1,39,,85,150,36,217,90
ch03,1.1,39,,50,180,41,257,74
ch03,1.1,39,5,55,91,29,268,37
ch03,1.1,39,,80,70,44,252,18
ch03,1.1,39,,45,114,39,568,35
ch03,1.1,39,6,50,130,40,262,45
ch03,1.1,50,7,65,185,50,362,50
ch03,1.1,50,,70,152,30,338,70
ch03,1.1,50,,80,158,34,352,48
ch03,1.1,50,8,70,180,40,350,57
ch03,1.1,50,,70,97,22,352,75
ch03,1.1,50,,70,126,28,340,70
ch03,1.1,50,9,70,147,38,353,37
ch03,1.1,19,6,70,110,35,140,40
ch03,1.1,19,,85,150,40,100,75
ch03,1.1,19,,50,105,38,120,60
ch03,1.1,19,7,80,107,36.1,115,70
ch03,1.1,19,,35,114,35,105,90
ch03,1.1,19,,40,147,34,100,80
ch03,1.1,19,8,65,143,38,100,80
ch03,1.1,19,,70,129,38,115,90
ch03,1.1,19,,45,118,31,110,110
ch03,1.1,19,9,65,106,27,130,62
ch03,1.1,19,,65,116,40,125,70
ch03,1.1,19,,30,52,21,140,45
ch03,1.1,19,10,40,148,47,115,90
ch03,1.1,19,,5,59,22,140,30
ch03,1.1,19,,50,84,28,140,40
ch03,1.1,19,11,60,78,29,140,20
ch04,1.2.1,2,1,85,105,33,47,49
ch04,1.2.1,2,,65,110,40,63,43
ch04,1.2.1,2,,70,77,28,54,54
ch04,1.2.1,2,2,50,115,42,63,27
ch04,1.2.1,2,,75,125,45,33,25
ch04,1.2.1,2,,65,100,35,68,23
ch04,1.2.1,2,3,70,120,40,41,57
ch04,1,4,1,10,90,26,16,51
ch04,1,4,,80,110,35,17,93
ch04,1,4,,70,115,40,7,100
ch04,1,4,2,80,130,40,2,71
ch04,1,4,,20,80,30,4,48
ch04,1,4,,0,95,32,0,54
ch04,1,4,3,40,155,46,13,68
ch04,1,4,,20,125,36,3,105
ch04,1,4,,70,166,50,0,85
ch04,1,4,4,65,73,21,8,56
ch04,1.1.1,21,1,70,124,29,117,65
ch04,1.1.1,21,,85,174,47,141,33
ch04,1.1.1,21,,80,140,39,140,32
ch04,1.1.1,21,2,90,176,41,139,39
ch04,1.1.1,21,,80,185,52,138,46
ch04,1.1.1,21,,80,144,35,134,73
ch04,1.1.1,21,3,60,131,28,146,18
ch04,1.1.1,37,1,70,134,34,257,22
ch04,1.1.1,37,,90,142,30,271,49
ch04,1.1.1,37,,90,75,11,267,44
ch04,1.1.1,37,2,70,147,28,249,27
ch04,1.1.1,37,,80,145,36,263,42
ch04,1.1.1,37,,90,83,15,268,45
ch04,1.1.2,18,1,90,140,31,123,60
ch04,1.1.2,18,,80,150,38,124,67
ch04,1.1.2,18,,90,94,25,151,9
ch04,1.1.2,18,2,80,111,25,124,67
ch04,1.1.2,18,,85,152,40,125,68
ch04,1.1.2,18,,80,97,17,124,71
ch04,1.1.2,18,3,65,98,26,151,12
ch04,1.1.2,18,,70,167,50,133,54
ch04,1.1.2,18,,85,159,47,148,39
ch04,1.1.2,18,4,90,169,51,146,34
ch04,1.2.2,21,1,80,139,41,188,39
ch04,1.2.2,21,,90,120,28,194,52
ch04,1.2.2,21,,90,156,43,188,43
ch04,1.2.2,21,2,90,92,26,197,10
ch04,1.2.2,21,,90,140,40,185,40
ch04,1.2.2,21,,90,100,19,186,50
ch04,1.2.2,21,3,80,137,36,185,35
ch05,1,17,1,85,155,44,0,60
ch05,1,17,,90,130,45,30,50
ch05,1,17,,80,146,46,20,44
ch05,1,17,2,90,155,46,50,46
ch05,1,17,,75,146,31,45,35
ch05,1,17,3,0,155,45,0,60
ch05,1,17,,70,106,35,30,28
ch05,1.2.1,5,4,45,155,42,160,
ch05,1.2.2,6,,90,82,43,163,53
ch05,1.2.3,7,5,45,127,37,175,10
ch05,1.1,11,6,75,188,41,190,75
ch05,1.1,11,,90,208,54,210,73
ch05,1.1,11,,90,137,40,234,25
ch05,1.1,11,7,90,132,50,195,70
ch05,1.2.1,22,8,90,154,43,355,32
ch05,1.2.2,23,,70,143,37,378,40
ch05,1.2.3,24,,75,154,37,373,62
ch05,1.2.4,25,9,90,147,33,385,45,
ch05,1.2.5,26,,70,154,40,405,40,
ch05,1.2.6,27,10,90,146,34,363,32,
ch05,1.2.7,28,,85,140,35,368,45,
ch05,1.2.8,29,,80,58,39,278,60,
ch05,1.1,2,11,85,147,38,144,40,
ch05,1.1,2,,90,184,42,134,72,
ch05,1.1,2,,85,160,40,153,45,
ch05,1.1,2,12,80,190,54,120,65,
ch05,1.1,2,,60,63,34,17,85,
ch05,1.1,2,,80,76,21,115,80,
ch05,1.1,2,13,90,154,58,115,75,
ch05,1.1,2,,70,160,48,140,55,
ch05,1.1,2,,30,16,33,130,57,Leaf angles length width April 2008.csv
ch05,1.1,2,14,90,154,45,134,45,
ch05,1.1,2,,80,146,48,155,30,
ch05,1.1,2,,90,110,33,160,30,
ch05,1.1,2,15,90,158,48,135,45,
ch06,1,18,,15,121,35,40,40,
ch06,1,18,,75,99,31,20,60,
ch06,1,18,11,50,29,60,20,60,
ch06,1,18,,60,87,29,20,60,
ch06,1,18,,55,71,25,30,50,
ch06,1,18,12,45,6,33,30,50,Leaf angles length width April 2008.csv
ch06,1,18,,90,90,28,20,40,
ch06,1,18,,50,112,36,40,30,
ch06,1,18,13,50,73,19,40,30,
ch06,1,18,,75,114,41,20,40,
ch06,1,18,,55,95,28,10,70,
ch06,1,18,14,60,96,35,30,30,
ch06,1,18,,60,118,41,20,50,
ch06,1,18,,70,69,24,10,50,
ch06,1,18,15,70,103,28,5,70
ch06,1,18,,60,44,13,30,30
ch06,1,18,,70,111,35,20,50
ch06,1,18,16,60,62,23,30,20
ch06,1,18,,80,111,37,30,40
ch06,1,18,,60,109,33,30,30
ch06,1,18,17,45,121,37,10,50
ch06,1,18,,90,97,25,30,20
ch06,1,18,,89,101,32,20,30
ch06,1,36,1,90,145,43,110,49
ch06,1,36,,70,63,27,141,49
ch06,1,36,,80,130,36,112,60
ch06,1,36,2,90,138,40,125,74
ch06,1,36,,80,62,24,142,74
ch06,1,36,,90,84,26,146,52
ch06,1,36,3,70,119,28,147,96
ch06,1,36,,70,143,36,142,93
ch06,1,36,,70,104,33,130,57
ch06,1,36,4,80,146,42,100,50
ch06,1,36,,70,104,34,130,47
ch06,1,36,,70,87,29,134,18
ch06,1,36,5,75,130,40,120,20
ch06,1,45,6,70,129,33,220,30
ch06,1,45,,70,76,19,193,42
ch06,1,45,,80,159,38,220,47
ch06,1,45,7,80,105,21,192,56
ch06,1,45,,70,73,21,202,72
ch06,1,45,,80,155,40,220,64
ch06,1,45,8,80,149,37,220,40
ch06,1,53,9,70,118,24,310,36
ch06,1,53,,85,99,24,312,23
ch06,1,51,10,80,115,30,235,20
ch06,1,51,,75,155,34,290,20
ch06,1,51,,90,106,26,275,15
ch07,1,12,1,25,99,24,4,62
ch07,1,12,,50,50,26,10,89
ch07,1,12,,25,96,26,12,70
ch07,1,12,2,60,119,34,22,37
ch07,1,12,,5,65,20,6,60
ch07,1,12,,45,94,27,6,66
ch07,1,12,3,80,110,31,43,15
ch07,1,12,,60,104,31,34,24
ch07,1,12,,30,93,26,24,36
ch07,1,12,4,25,98,34,6,48
ch07,1,12,,60,82,27,10,53
ch07,1,12,,25,135,34,14,42
ch07,1,12,5,45,85,30,8,62
ch07,1,27,6,50,93,24,28,120
ch07,1,27,,60,100,52,126,20
ch07,1,27,,80,116,32,110,30
ch07,1,27,7,90,83,19,130,25
ch07,1,27,,80,78,22,100,35
ch07,1,27,,45,123,41,100,50
ch07,1,27,8,45,149,48,100,80
ch07,1,27,,45,82,26,105,55
ch07,1,27,,50,87,21,120,23
ch07,1,27,9,80,90,25,115,28
ch07,1,27,,40,86,27,120,23
ch07,1,27,,80,85,22,120,23
ch07,1,27,10,45,122,35,100,36
ch07,1,27,,80,125,34,95,35
ch07,1,27,,55,155,46,98,65
ch07,1,27,11,50,102,29,105,40
ch07,1,27,,75,71,24,104,44
ch07,1,27,,70,118,43,95,58,
ch07,1,27,12,50,117,39,100,83,
ch07,1,27,,30,135,44,102,82,
ch07,1,27,,60,119,35,102,55,
ch07,1,27,13,70,152,43,90,61,
ch07,1,27,,85,95,25,102,33,
ch07,1,27,,80,110,31,95,35,
ch07,1,27,14,70,115,35,106,25,
ch07,1,27,,70,97,25,23,106,
ch07,1,27,,40,73,21,138,13,
ch07,1,27,15,30,90,20,23,23,
ch07,1,43,16,80,141,40,230,45,
ch07,1,43,,90,150,46,210,45,typo in height corrected (RAD)
ch07,1,43,,45,73,29,240,40,
ch07,1,43,17,90,117,39,230,70,
ch07,1,43,,90,110,34,250,90,
ch07,1,43,,90,135,40,255,95
ch07,1,43,18,90,122,31,260,105
